key,value,label,emerlabel,version,sent1,num
topic0,1.306851,greek language; basic functionality; personal dictionary,0,5.0.2.4,1: it be true that it be easy to write certain word in the language but if you have to write something unusual throw out kr some suggestion that you can not in any way fix;<br>2: take time to get use to and unsure if it make write more efficient but constantly improve the proposal;<br>3: just fuck up my word whenever i want to write use different langauges;<br>,1
topic0,1.058114,performance improvement; word prediction; comma button,0,5.0.3.26,1: now i have make use of it for about two_year and i still have not find another that reach near this;<br>2: s easy to turn on from norwegian to english and german_language as i have set it;<br>3: i use it for a while and i would not need another;<br>,2
topic0,0.928399,personal dictionary; cost money; slight delay,0,5.0.4.93,1: after press enter or by send a message the background change to black keyboard while i white;<br>2: i know i can change the size of the keyboard but i do_n't want it taller just the key bigger;<br>3: sometimes lag a bite probably because of my vast personal_dictionary and all those sn;<br>,3
topic0,1.867878,several time; double consonant; auto correct,0,5.0.5.95,1: ca_n't use this keyboard nowadays because of wierd lag and when inside my text app original the keyboard do_n't flip correctly and show a white_bar beneath the keyboard that do_n't go_away til i change the size of the keyboard;<br>2: you can write with it better as with the other keyboard application but it be too exigent with the correction and if write fast and do no check every word visualy to confirm the wright one you will end_up write completly something_else;<br>3: a waste of time and a waste of emotion the term be use frequently occasionally guide the system be also silly;<br>,4
topic0,1.452497,word completion; voice dictation; suggest correction,0,5.1.0.60,1: it quickly but i cant write when this show continue word up fix it or put an option to disable it and the other problem be that the option who take the keyboard when you turn it this return to the space who i have select;<br>2: thereby force unnecessary to install additional app despite the opposition of the user who only take up space and without which work well in the past;<br>3: the app actually shorten my time type predict the stand say depend_on a user vocabulary;<br>,5
topic0,1.550648,performance improvement; long time; default keyboard,performance improvement; default keyboard; cap lock,5.1.1.66,1: evolveo strongphone q4 after every reboot there be no default language and automatic download be unsuccessful;<br>2: it be a useful application increase the speed of write a letter but launch and minimize really hard and it <digit>;<br>3: sometimes a bite annoy to lose key be very_useful line require a special press;<br>,6
topic0,2.562910,long time; swype keyboard; droid turbo,0,5.1.2.75,1: i ve try <digit> different keyboard so_far but keep come back to swiftkey;<br>2: also and this be probably unique to my padfone_x when i use the tablet swiftkey become lock in that mode and i have to uninstall and reinstall in_order to get my phone base keyboard preference to display;<br>3: i ve probably use every popular keyboard and try most alternative type keyboard as_well and i always come back to swift_key;<br>,7
topic0,0.952489,prediction bar; key word; swift keyboard,0,5.2.0.115,1: chinese have many common word slowly learn system need fundamental well should be the default display for user to choose there be the minimum system requirement expect to have normal associate_with the word choose otherwise no practical;<br>2: this be a good keyboard no_doubt but i find_myself struggle when flow be activate and have to constantly go_back and type word over and over even if they be word i use a lot on a daily_basis;<br>3: it s very often like a double vibration when i press one single letter;<br>,8
topic0,0.620745,auto correction; next word prediction; window phone,0,5.2.1.120,1: the auto_correction work_fine and type be super tasty without error and fast it be therefore highly_recommend;<br>2: not find something o complain except that it do not float on when scroll browse emojis otherwise super;<br>3: after the last_update application keep fall even twice in one day write;<br>,9
topic0,2.192552,material design; different color; regular basis,0,5.2.2.124,1: great keyboard the only thing that i want be more theme one in specific and that would be a pulse_red and if you could make it free that would be amaze;<br>2: it be a very good keyboard but to be excellent one detail miss add art add more emojis emoji emoticon put and more free theme;<br>3: it be a very good keyboard but lack some detail add art emoji add more emojis and smiley put more free theme;<br>,10
topic0,0.934824,power consumption; pay customer; thirty day,0,5.2.2.126,,11
topic0,0.922106,predict word; auto correction; key board,0,5.2.2.133,,12
topic0,0.866304,correct spell; virtual keyboard; physical keyboard,0,5.2.2.134,,13
topic0,0.809450,assamese language; swear word; unknown error code,0,5.2.2.139,,14
topic0,2.073260,lock screen; email address; different style,0,5.2.3.144,,15
topic0,2.850291,droid turbo; try uninstalling; factory reset,0,5.3.0.124,,16
topic1,1.080016,play store; greek language; window phone,0,5.0.2.4,1: the awful keyboard samsung_galaxy_s4 finally this wonderful keyboard effortlessly write fast without mistake excellent and brilliant bravo;<br>2: now maybe you do not pay much lower punishment because he have nothing that do not have keyboard that come with mobile phone and also with the latest_update jam a lot;<br>3: perfect keyboard maybe a little more topic for which there be no need to pay unnecessarily but otherwise super different keyboard can not imagine i have it on mobile and tablet;<br>,1
topic1,1.163411,stock android; word prediction; comma button,0,5.0.3.26,1: can also add that i use swiftkey for almost 3_year and have never look back;<br>2: shit have pay for something that be now free without get anything in return for it;<br>3: toch pal be better but here you score <digit>;<br>,2
topic1,0.691544,take forever; slight delay; force close,0,5.0.4.93,1: i get angry when i change the word though sometimes i write something_else but it <digit>;<br>2: highly_recommend even for mini lazy people_who do not want to write whole word;<br>3: you get to write message <digit> time faster if you know to use it;<br>,3
topic1,1.399872,shift key; huge delay; double consonant,0,5.0.5.95,1: it adapt auto correcten automatically eg when i start to write in english i get english option directly without do anything;<br>2: emoji and theme be nice even if the g requirement be crap lousy do not want to give the nsa and google even more data;<br>3: the suggestion s be really good you can switch_between language without have to switch keyboard and give emoji suggestion too;<br>,4
topic1,1.662349,improve performance; number row; word completion,0,5.1.0.60,1: keyboard no_longer appear or appear very slowly after maybe 5_second after update that supposedly improve_performance;<br>2: htc_one_m8 with android swiftkey <digit> without the battery last about 24_hour;<br>3: have try other keyboard but the case be always back to this;<br>,5
topic1,1.366287,correct typo; long time; performance improvement,0,5.1.1.66,1: but i miss it add your_own word to the dictionary it would not hurt to also import from another keyboard;<br>2: it go so_much faster to bring up the word as_soon_as it learn what word i use;<br>3: i use the keyboard for smart but this suit me more especially excellent prediction base on repetitive phrase;<br>,6
